Datum,strompreis_EUR_MWh,grid_co2_kg_MWh,T_outdoor_C,T_ground_C,T_WRG1_C,WRG1_Q_MW,T_WRG2_C,WRG2_Q_MW,T_WRG3_C,WRG3_Q_MW,T_WRG4_C,WRG4_Q_MW,demand_north_MW,demand_south_MW,demand_east_MW,demand_west_MW,waermebedarf_MWth,zone_01_demand_MWth,zone_02_demand_MWth,zone_03_demand_MWth,zone_04_demand_MWth,zone_05_demand_MWth,zone_06_demand_MWth,zone_07_demand_MWth,zone_08_demand_MWth,zone_09_demand_MWth,zone_10_demand_MWth,zone_11_demand_MWth,zone_12_demand_MWth,zone_13_demand_MWth,zone_14_demand_MWth,zone_15_demand_MWth,zone_16_demand_MWth,zone_17_demand_MWth,zone_18_demand_MWth,zone_19_demand_MWth,zone_20_demand_MWth,zone_21_demand_MWth,zone_22_demand_MWth,zone_23_demand_MWth
2023-01-01 10:00:00,105.9808,420.0,5.1884,10.0,11.3207,5.0,11.9538,3.5,8.6965,4.2,12.801,3.8,13.3037,14.344,15.0971,16.4776,59.2224,3.5505,2.9133,2.3378,2.3022,2.1999,3.2318,2.8104,2.154,2.2154,2.2438,1.6886,3.4798,2.9518,2.4721,2.4174,1.9006,1.8754,3.8186,3.2431,3.1709,2.5206,1.9139,1.8105
2023-01-01 11:00:00,108.9778,410.3528,5.9458,10.0,17.2903,5.0,12.0351,3.5,11.3608,4.2,14.8287,3.8,13.4194,14.7091,15.6791,16.6965,60.5041,3.6026,3.0349,2.3797,2.2059,2.1963,3.2803,2.8506,2.2841,2.3086,2.2712,1.7143,3.6513,3.0848,2.505,2.6038,1.9433,1.8909,3.9725,3.2116,3.2547,2.6129,1.8416,1.8032
2023-01-01 12:00:00,110.0,400.0,6.6813,10.0,13.1013,5.0,13.4131,3.5,10.8518,4.2,11.4057,3.8,13.6401,15.4139,16.249,17.0549,62.3579,3.5964,3.0183,2.3299,2.3484,2.3471,3.3989,2.9274,2.3113,2.3825,2.492,1.9018,3.7154,3.2244,2.6041,2.6003,2.0558,2.049,4.0077,3.4071,3.332,2.6044,1.8685,1.8352
2023-01-01 13:00:00,108.9778,389.6472,8.371,10.0,10.1357,5.0,14.4231,3.5,7.8949,4.2,15.276,3.8,12.201,13.8091,14.7438,15.094,55.8479,3.28,2.6893,2.0752,2.097,2.0595,3.0162,2.5373,2.0867,2.2068,2.2396,1.7225,3.523,2.873,2.3372,2.3404,1.8309,1.8393,3.5593,2.9674,2.843,2.3337,1.7078,1.6828
2023-01-01 14:00:00,105.9808,380.0,9.2103,10.0,9.7082,5.0,15.4718,3.5,10.0487,4.2,13.3693,3.8,11.9522,14.2806,14.8573,14.5957,55.6858,3.207,2.6482,1.987,2.0776,2.0324,3.2004,2.6858,2.1977,2.237,2.2128,1.7469,3.4208,3.0204,2.4378,2.3639,1.8307,1.7837,3.4957,2.9488,2.7991,2.1642,1.604,1.5839
2023-01-01 15:00:00,101.2132,371.7157,8.8359,10.0,12.8149,5.0,17.8007,3.5,11.3528,4.2,13.1004,3.8,12.4843,15.0805,15.5294,15.1085,58.2027,3.3128,2.7553,2.1034,2.1624,2.1504,3.3969,2.8061,2.3492,2.285,2.4531,1.7902,3.7977,3.0744,2.4497,2.4933,1.8892,1.8251,3.6542,2.9716,2.8874,2.2863,1.6459,1.6631
2023-01-01 16:00:00,95.0,365.359,9.1819,10.0,11.4031,5.0,16.5653,3.5,6.5112,4.2,15.2719,3.8,11.8132,14.4101,14.7997,14.0944,55.1174,2.9544,2.608,2.0428,2.0869,2.1211,3.2273,2.6958,2.1657,2.2912,2.2891,1.741,3.6242,3.0138,2.3544,2.3416,1.7466,1.7191,3.3522,2.7066,2.6952,2.1801,1.58,1.5803
2023-01-01 17:00:00,87.7646,361.363,10.1335,10.0,13.278,5.0,14.5301,3.5,10.9367,4.2,14.7385,3.8,12.133,15.1733,15.1634,14.3531,56.8228,3.164,2.5921,2.1277,2.0846,2.1646,3.3465,2.8763,2.3596,2.3775,2.4102,1.8032,3.6788,3.138,2.4821,2.3704,1.7416,1.7525,3.4561,2.7675,2.7919,2.1841,1.6069,1.5466
2023-01-01 18:00:00,80.0,360.0,9.7239,10.0,12.7965,5.0,14.812,3.5,8.5248,4.2,13.1281,3.8,11.1575,13.9684,13.6009,12.744,51.4708,2.8136,2.34,1.9279,1.9934,2.0826,3.0465,2.6472,2.1846,2.1635,2.2493,1.6773,3.3079,2.8054,2.14,2.1997,1.6215,1.5264,3.0447,2.4453,2.5208,1.9334,1.3929,1.4069
2023-01-01 19:00:00,72.2354,361.363,10.2142,10.0,11.7043,5.0,12.8449,3.5,10.9912,4.2,16.1687,3.8,10.9638,13.5847,12.8263,11.9216,49.2964,2.7895,2.3003,1.9152,1.9394,2.0194,3.0227,2.6184,2.1193,2.1091,2.1335,1.5817,3.2041,2.6015,2.0914,2.0359,1.4721,1.4213,2.78,2.3301,2.3148,1.8058,1.3589,1.332
2023-01-01 20:00:00,65.0,365.359,9.6995,10.0,10.1564,5.0,14.813,3.5,8.3235,4.2,11.6879,3.8,11.7562,14.5471,13.5503,12.8694,52.723,2.9178,2.5109,2.05,2.1021,2.1754,3.2487,2.765,2.2957,2.3107,2.2302,1.6968,3.3847,2.7592,2.1403,2.1225,1.6035,1.5401,3.044,2.5249,2.4862,1.9327,1.4178,1.4638
2023-01-01 21:00:00,60.0,371.7157,8.3634,10.0,8.8203,5.0,14.2727,3.5,6.2402,4.2,15.0819,3.8,11.5445,13.7045,12.3738,11.8688,49.4916,2.9016,2.483,2.0413,2.0203,2.0983,3.1604,2.6718,2.105,2.1063,2.1218,1.5392,3.0874,2.5768,1.9868,1.9152,1.4325,1.3751,2.7958,2.2182,2.2636,1.8355,1.3406,1.4151
2023-01-01 22:00:00,60.0,380.0,9.2738,10.0,10.957,5.0,15.4954,3.5,6.5949,4.2,15.0362,3.8,11.5541,14.0023,12.2939,12.2194,50.0697,2.8827,2.5056,1.9981,2.0773,2.0904,3.193,2.7433,2.1506,2.1856,2.1743,1.5555,3.0235,2.4572,1.9847,1.9983,1.4125,1.4177,2.8303,2.3292,2.3496,1.9188,1.3909,1.4006
2023-01-01 23:00:00,60.0,389.6472,8.6744,10.0,13.5628,5.0,13.1955,3.5,9.9462,4.2,13.2309,3.8,11.1089,13.1124,11.4507,11.5589,47.2309,2.7726,2.3576,1.9851,2.0047,1.9889,3.085,2.5833,1.99,2.0204,2.008,1.4257,2.9115,2.3955,1.78,1.7358,1.3054,1.3225,2.6808,2.1587,2.2215,1.7289,1.373,1.396
2023-01-02 00:00:00,60.0,400.0,6.6936,10.0,12.2782,5.0,15.8887,3.5,10.3694,4.2,14.5023,3.8,12.94,14.8336,12.8648,13.3622,54.0006,3.2109,2.8373,2.3161,2.3109,2.2648,3.5686,2.9296,2.2661,2.2447,2.1973,1.6273,3.1526,2.6527,2.0787,1.9546,1.5324,1.4938,3.0297,2.5248,2.5148,2.0865,1.6194,1.587
2023-01-02 01:00:00,60.0,410.3528,6.0297,10.0,9.3585,5.0,17.9155,3.5,8.0414,4.2,11.3478,3.8,13.6019,15.0268,12.9431,13.8519,55.4237,3.5132,2.9301,2.365,2.3753,2.4183,3.5216,3.0043,2.3682,2.2286,2.2878,1.6163,3.2067,2.6446,2.0517,1.9826,1.561,1.4965,3.0224,2.65,2.6204,2.2119,1.6768,1.6704
2023-01-02 02:00:00,60.0,420.0,5.6429,10.0,12.1964,5.0,14.6325,3.5,11.1272,4.2,15.6981,3.8,12.7899,14.0188,12.1164,13.2604,52.1855,3.2143,2.8591,2.1956,2.279,2.2419,3.3834,2.7712,2.1731,2.1102,2.1026,1.4783,2.9217,2.4686,1.9048,1.929,1.4381,1.4542,2.9267,2.5322,2.5189,2.1065,1.5732,1.6029
2023-01-02 03:00:00,60.0,428.2843,5.0459,10.0,12.6206,5.0,15.6534,3.5,6.527,4.2,13.4802,3.8,13.6777,14.6656,12.7163,14.5628,55.6224,3.514,2.9628,2.3654,2.413,2.4225,3.4694,2.8455,2.2659,2.2494,2.2359,1.5995,3.0987,2.5218,2.0184,2.0246,1.5247,1.5281,3.216,2.6914,2.8689,2.2871,1.7639,1.7355
2023-01-02 04:00:00,65.0,434.641,4.7312,10.0,10.0823,5.0,16.2303,3.5,9.7178,4.2,12.8046,3.8,13.3123,13.7466,12.2745,14.2033,53.5367,3.5297,2.8874,2.3515,2.2937,2.25,3.3114,2.663,2.0668,2.1356,2.0352,1.5346,2.953,2.394,1.9875,1.9272,1.4734,1.5394,3.0917,2.7445,2.662,2.2561,1.7049,1.7441
2023-01-02 05:00:00,72.2354,438.637,5.1073,10.0,12.1575,5.0,14.0476,3.5,7.428,4.2,15.948,3.8,13.8495,14.4939,13.0239,15.1036,56.4709,3.6125,3.0518,2.4115,2.3788,2.3949,3.5489,2.7795,2.2183,2.1732,2.1553,1.6187,3.0676,2.5576,2.121,2.0787,1.588,1.611,3.2799,2.8708,2.953,2.3613,1.7879,1.8507
2023-01-02 06:00:00,80.0,440.0,3.9115,10.0,11.9664,5.0,15.2982,3.5,8.5463,4.2,12.4413,3.8,14.2635,14.5987,13.7923,15.8924,58.5469,3.8032,3.1006,2.4811,2.4727,2.4059,3.4988,2.8599,2.281,2.1729,2.1632,1.6229,3.3005,2.7533,2.1235,2.1737,1.6789,1.7624,3.563,2.9799,3.003,2.5133,1.9013,1.9319
2023-01-02 07:00:00,87.7646,438.637,3.7031,10.0,9.5641,5.0,14.8752,3.5,9.9448,4.2,11.0331,3.8,16.2373,16.8081,16.6311,19.0275,68.704,4.401,3.6196,2.7791,2.7163,2.7213,3.9668,3.2241,2.5089,2.6206,2.5831,1.9046,3.9252,3.3192,2.6447,2.6311,1.9888,2.1221,4.2584,3.6475,3.7498,2.9033,2.234,2.2345
2023-01-02 08:00:00,95.0,434.641,3.7123,10.0,12.5656,5.0,15.0454,3.5,8.1292,4.2,10.7367,3.8,15.1494,15.925,15.8314,18.1457,65.0515,4.1132,3.2927,2.6213,2.5627,2.5595,3.8069,3.0167,2.4396,2.3599,2.461,1.8409,3.6626,3.0842,2.4952,2.5517,2.0318,2.0059,4.1081,3.5616,3.5269,2.8125,2.0895,2.0471
2023-01-02 09:00:00,101.2132,428.2843,4.5132,10.0,12.9716,5.0,13.304,3.5,9.0809,4.2,15.062,3.8,14.5846,15.3627,15.581,17.7639,63.2922,3.9061,3.2659,2.5381,2.5043,2.3702,3.5717,3.0104,2.3175,2.355,2.2806,1.8275,3.6306,3.0154,2.4536,2.568,1.9655,1.9479,4.1544,3.4765,3.4027,2.6644,2.0644,2.0015
2023-01-02 10:00:00,105.9808,420.0,5.4834,10.0,14.0161,5.0,14.899,3.5,11.8626,4.2,11.2891,3.8,16.3991,17.3998,18.3234,20.055,72.1773,4.4519,3.5874,2.7675,2.8074,2.7849,3.9344,3.3205,2.6246,2.7315,2.6903,2.0985,4.2744,3.5111,2.9601,2.9553,2.3232,2.2993,4.7208,3.8323,3.8285,3.0903,2.343,2.2401
2023-01-02 11:00:00,108.9778,410.3528,7.1208,10.0,13.9576,5.0,15.846,3.5,8.6962,4.2,17.3596,3.8,14.2997,15.6539,16.7652,18.0544,64.7732,3.8035,3.1756,2.4588,2.4476,2.4142,3.5733,2.9478,2.3496,2.4553,2.4748,1.8531,3.9145,3.1904,2.7156,2.7573,2.109,2.0784,4.2379,3.5565,3.5632,2.7419,1.9698,1.9851
2023-01-02 12:00:00,110.0,400.0,6.7412,10.0,9.0947,5.0,17.7523,3.5,11.5214,4.2,9.6861,3.8,15.6238,17.354,18.7594,19.5173,71.2545,4.1814,3.4731,2.7314,2.622,2.6159,3.8999,3.3221,2.6329,2.7167,2.6844,2.098,4.4161,3.6203,3.0092,3.0441,2.3301,2.3396,4.6747,3.7678,3.7099,2.9884,2.204,2.1725
2023-01-02 13:00:00,108.9778,389.6472,7.8884,10.0,9.9743,5.0,16.7685,3.5,7.5906,4.2,17.2429,3.8,13.3102,15.4395,16.4389,16.5875,61.7761,3.4584,2.8353,2.3202,2.3446,2.3517,3.4872,2.8783,2.2891,2.4144,2.5016,1.8689,3.8717,3.3233,2.5685,2.7053,1.9817,1.9884,3.8996,3.283,3.2376,2.5745,1.8215,1.7713
2023-01-02 14:00:00,105.9808,380.0,8.4918,10.0,12.8801,5.0,19.1564,3.5,10.9096,4.2,14.272,3.8,13.6525,15.9865,16.9207,16.7857,63.3454,3.6783,2.9762,2.3035,2.4009,2.2936,3.5496,2.9646,2.4185,2.434,2.6106,2.0092,4.0391,3.3153,2.7221,2.7199,2.0657,2.0586,4.0217,3.2656,3.3162,2.4998,1.8548,1.8276
2023-01-02 15:00:00,101.2132,371.7157,9.7155,10.0,12.8776,5.0,13.3153,3.5,12.7331,4.2,13.6566,3.8,14.4515,17.644,18.1482,17.744,67.9877,3.7202,3.1412,2.5074,2.5854,2.4973,3.9708,3.3057,2.6385,2.7449,2.8219,2.1622,4.2173,3.664,2.9273,2.9916,2.1549,2.1931,4.2727,3.442,3.4271,2.6803,1.976,1.9459
2023-01-02 16:00:00,95.0,365.359,10.8615,10.0,12.8801,5.0,16.5946,3.5,4.9067,4.2,12.7602,3.8,14.6441,17.6346,18.0914,17.4732,67.8433,3.7795,3.1776,2.5173,2.5866,2.5831,3.8659,3.3183,2.736,2.8181,2.7656,2.1307,4.4157,3.5821,2.8573,2.9061,2.2084,2.1218,4.2573,3.4585,3.2689,2.6522,1.9119,1.9244
2023-01-02 17:00:00,87.7646,361.363,9.6323,10.0,19.5555,5.0,15.2167,3.5,8.2562,4.2,14.6483,3.8,13.5626,17.2526,16.7829,15.9543,63.5524,3.5418,2.8844,2.2961,2.4598,2.3805,3.8366,3.2457,2.6297,2.717,2.7549,2.0687,4.059,3.4622,2.6366,2.6867,1.9752,1.9632,3.8452,3.1191,3.0997,2.453,1.7195,1.7178
2023-01-02 18:00:00,80.0,360.0,9.7553,10.0,12.9918,5.0,19.2296,3.5,11.0041,4.2,13.7747,3.8,12.9788,16.1269,15.7361,14.88,59.7218,3.2015,2.8475,2.2646,2.3578,2.3074,3.5049,3.1205,2.5548,2.5059,2.5481,1.8927,3.9587,3.1665,2.5331,2.4385,1.8791,1.7602,3.511,2.9034,2.8633,2.2869,1.643,1.6724
2023-01-02 19:00:00,72.2354,361.363,10.4199,10.0,14.1211,5.0,13.2334,3.5,9.4439,4.2,16.0566,3.8,12.358,15.6318,14.7235,13.7615,56.4748,3.0911,2.6585,2.1239,2.2232,2.2613,3.5752,2.8784,2.385,2.421,2.5037,1.8685,3.5639,3.038,2.3756,2.3909,1.694,1.6611,3.2098,2.6126,2.6964,2.0835,1.5784,1.5808
2023-01-02 20:00:00,65.0,365.359,9.939,10.0,13.758,5.0,13.1706,3.5,10.5923,4.2,14.0785,3.8,11.4529,14.1621,13.0421,12.1901,50.8472,2.924,2.393,2.0504,2.028,2.0575,3.2275,2.655,2.2338,2.1782,2.1803,1.6873,3.2411,2.6331,2.1599,2.0059,1.5499,1.4522,2.8459,2.3539,2.3188,1.9078,1.376,1.3877
2023-01-02 21:00:00,60.0,371.7157,10.0447,10.0,13.1528,5.0,13.6512,3.5,8.642,4.2,14.1506,3.8,12.1036,14.9295,13.3687,12.84,53.2418,3.1224,2.5678,2.1113,2.1379,2.1642,3.4308,2.8564,2.3271,2.2943,2.3219,1.699,3.2714,2.7387,2.2023,2.0408,1.5683,1.5472,2.9826,2.4505,2.5214,1.9065,1.4827,1.4963
2023-01-02 22:00:00,60.0,380.0,8.792,10.0,11.2195,5.0,10.6022,3.5,10.0232,4.2,13.1228,3.8,12.5758,14.9232,13.3826,13.1542,54.0358,3.2029,2.6958,2.2571,2.1917,2.2283,3.484,2.8341,2.2965,2.3321,2.2987,1.6778,3.4243,2.7218,2.1206,2.0953,1.4928,1.5278,3.0538,2.5016,2.526,2.0313,1.4954,1.5461
2023-01-02 23:00:00,60.0,389.6472,7.5968,10.0,13.3679,5.0,13.7985,3.5,9.5386,4.2,13.7361,3.8,13.566,15.9409,13.987,13.9914,57.4853,3.4054,2.919,2.3969,2.4303,2.4144,3.7149,3.1405,2.4614,2.4071,2.479,1.738,3.562,2.7778,2.1745,2.2207,1.6477,1.6043,3.2003,2.6676,2.6492,2.1201,1.6436,1.7106
2023-01-03 00:00:00,60.0,400.0,7.2953,10.0,10.3043,5.0,13.3317,3.5,12.1856,4.2,14.4656,3.8,13.7182,15.239,13.4783,13.9526,56.3881,3.4742,2.9707,2.3946,2.4559,2.4228,3.5892,3.0165,2.3419,2.3682,2.2686,1.6546,3.3845,2.6817,2.1568,2.0983,1.5803,1.5767,3.1845,2.6479,2.6487,2.1606,1.592,1.7189
2023-01-03 01:00:00,60.0,410.3528,6.7779,10.0,11.3764,5.0,15.1508,3.5,10.3588,4.2,10.4297,3.8,12.3563,13.633,11.8312,12.6469,50.4674,3.2194,2.6406,2.1278,2.2064,2.1621,3.2361,2.6213,2.1722,2.0979,2.0355,1.47,2.9656,2.3325,1.9224,1.8372,1.3894,1.3841,2.795,2.4138,2.4645,1.9865,1.4786,1.5085
2023-01-03 02:00:00,60.0,420.0,5.9102,10.0,10.8793,5.0,15.5335,3.5,10.5252,4.2,11.1536,3.8,13.7112,14.8425,12.9628,14.0262,55.5427,3.4714,3.0061,2.4297,2.3803,2.4237,3.568,2.9256,2.2769,2.2949,2.1604,1.6167,3.1408,2.641,2.0637,2.0769,1.4969,1.5435,3.1687,2.5878,2.6922,2.1897,1.6711,1.7167
2023-01-03 03:00:00,60.0,428.2843,5.1323,10.0,12.0137,5.0,18.6023,3.5,9.0262,4.2,15.3365,3.8,13.208,14.2851,12.4933,13.9459,53.9323,3.4349,2.8321,2.3663,2.2842,2.2905,3.4523,2.7947,2.2341,2.1835,2.0426,1.5779,2.9465,2.4228,2.0441,2.038,1.5114,1.5305,3.1407,2.6231,2.6321,2.1403,1.6676,1.7421
2023-01-03 04:00:00,65.0,434.641,4.9353,10.0,16.4793,5.0,16.7508,3.5,8.8748,4.2,14.1917,3.8,13.2631,13.6473,12.2929,14.1399,53.3432,3.469,2.9317,2.3492,2.2233,2.2899,3.2617,2.7182,2.1199,2.0582,2.0065,1.4828,2.9295,2.4005,1.9652,1.9281,1.5028,1.5668,3.0894,2.692,2.7645,2.2545,1.6634,1.6761
2023-01-03 05:00:00,72.2354,438.637,4.6869,10.0,8.1155,5.0,13.6962,3.5,8.9849,4.2,13.482,3.8,14.4407,15.1118,13.896,15.6828,59.1313,3.7645,3.1994,2.5609,2.5131,2.4028,3.6579,2.9346,2.3343,2.2896,2.2083,1.6871,3.2776,2.7446,2.2086,2.2699,1.7057,1.6896,3.4373,2.9949,3.0306,2.4622,1.8474,1.9104
2023-01-03 06:00:00,80.0,440.0,4.6911,10.0,13.2225,5.0,13.0532,3.5,10.6389,4.2,13.8869,3.8,15.1572,15.8597,15.0851,17.0369,63.1389,4.0341,3.3612,2.5944,2.6668,2.5007,3.8476,3.1374,2.4247,2.3682,2.3329,1.7489,3.5518,2.9981,2.3595,2.4542,1.8593,1.8622,3.8417,3.2047,3.244,2.6362,2.0839,2.0264
2023-01-03 07:00:00,87.7646,438.637,4.4266,10.0,8.6246,5.0,15.8338,3.5,9.008,4.2,14.5452,3.8,15.628,15.9655,15.6828,18.2749,65.5512,4.259,3.4634,2.6721,2.6303,2.6032,3.821,3.1367,2.4098,2.4133,2.383,1.8017,3.6089,3.0949,2.5474,2.5756,1.9049,1.9511,4.1212,3.4156,3.5479,2.8511,2.1742,2.1649
2023-01-03 08:00:00,95.0,434.641,4.3184,10.0,10.9061,5.0,12.2095,3.5,10.4295,4.2,12.7705,3.8,14.5474,15.1311,15.3814,17.2002,62.2601,3.8948,3.2377,2.4739,2.4511,2.4899,3.6019,2.8941,2.3164,2.3517,2.2568,1.7102,3.5536,3.0137,2.4371,2.5134,1.9155,1.9481,3.928,3.3394,3.3263,2.6605,1.9908,1.9552
2023-01-03 09:00:00,101.2132,428.2843,4.952,10.0,14.0279,5.0,18.5129,3.5,14.0008,4.2,12.2934,3.8,15.1113,15.9698,16.1666,18.4971,65.7448,4.0427,3.4472,2.6276,2.5299,2.4639,3.6166,3.1262,2.366,2.47,2.4938,1.8972,3.6546,3.1672,2.6576,2.6145,2.0311,2.0416,4.2987,3.6012,3.6209,2.789,2.1083,2.079
2023-01-03 10:00:00,105.9808,420.0,6.1033,10.0,11.9786,5.0,17.2089,3.5,11.5922,4.2,14.2417,3.8,15.796,16.9443,17.7974,19.6006,70.1383,4.3241,3.4356,2.723,2.6409,2.6724,3.8821,3.229,2.5428,2.6403,2.6126,2.0375,4.0365,3.5591,2.9145,2.885,2.1796,2.2227,4.5222,3.8744,3.8361,3.0445,2.1727,2.1507
2023-01-03 11:00:00,108.9778,410.3528,5.8151,10.0,9.6945,5.0,13.9116,3.5,9.198,4.2,11.8933,3.8,16.4368,17.9282,18.8821,20.1545,73.4016,4.445,3.6764,2.8262,2.6972,2.792,4.1583,3.3358,2.7668,2.7104,2.8662,2.0907,4.3511,3.8182,2.9883,3.0831,2.3313,2.3101,4.6458,3.9641,3.8777,3.1985,2.2793,2.1891
2023-01-03 12:00:00,110.0,400.0,7.1843,10.0,10.4194,5.0,11.4237,3.5,12.2524,4.2,14.6665,3.8,15.0512,16.7099,17.6477,18.4062,67.815,4.1024,3.3319,2.5886,2.5775,2.4508,3.7067,3.2149,2.5774,2.5268,2.6701,2.014,4.0082,3.4267,2.8209,2.9561,2.2024,2.2334,4.4118,3.5666,3.5599,2.804,2.0312,2.0327
2023-01-03 13:00:00,108.9778,389.6472,7.5798,10.0,13.2092,5.0,17.5577,3.5,9.0338,4.2,10.4448,3.8,14.9366,16.9209,18.1257,18.6866,68.6698,4.0396,3.2379,2.4979,2.6085,2.5527,3.7024,3.2223,2.5731,2.6078,2.7127,2.1026,4.1993,3.6004,2.9628,2.8953,2.2915,2.1764,4.4373,3.6513,3.693,2.8278,2.056,2.0212
2023-01-03 14:00:00,105.9808,380.0,8.5144,10.0,10.3893,5.0,14.6209,3.5,5.7738,4.2,15.9083,3.8,13.8152,16.3665,17.1105,17.1637,64.4559,3.6734,3.0862,2.3365,2.2948,2.4243,3.5705,3.0971,2.5088,2.5846,2.6351,1.9704,3.9469,3.435,2.8163,2.7303,2.1158,2.0662,4.1389,3.3834,3.3544,2.5125,1.9252,1.8493
2023-01-03 15:00:00,101.2132,371.7157,9.7605,10.0,12.2829,5.0,17.3256,3.5,7.8338,4.2,14.7952,3.8,13.1608,16.1992,16.7707,16.5509,62.6816,3.4495,2.8027,2.26,2.2456,2.403,3.5641,3.1161,2.4779,2.4889,2.6171,1.9351,3.9655,3.4177,2.7598,2.6777,1.9725,1.9775,4.0109,3.2533,3.2145,2.441,1.8588,1.7724
